Transaction_Amount,Transaction_Type,Account_Balance,Device_Type,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Type,Transaction_Distance,Authentication_Method,Is_Weekend,Fraud_Label,Year,Month,Day,Hour,Minute,Second
39.79,3,93213.17,0,0,0,7,437.63,3,0,883.17,0,0,0,2023,8,14,19,30,0
1.19,1,75725.25,1,0,0,13,478.76,4,2,2203.36,3,0,1,2023,6,7,4,1,0
28.96,2,1588.96,2,0,0,14,50.01,4,3,1909.29,0,0,1,2023,6,20,15,25,0
254.32,0,76807.2,2,0,0,8,182.48,4,3,1311.86,1,0,1,2023,12,7,0,31,0
31.28,3,92354.66,1,0,1,14,328.69,4,2,966.98,3,1,1,2023,11,11,23,44,0
168.55,2,33236.94,0,0,0,3,226.85,2,1,1725.64,1,0,0,2023,6,5,20,55,0
3.79,3,86834.18,2,0,0,2,298.35,2,2,3757.19,3,0,0,2023,11,7,1,18,0
7.08,0,45826.27,2,0,0,3,164.38,4,1,1764.66,0,0,1,2023,2,25,3,43,0
34.25,0,94392.35,2,0,0,7,90.02,3,3,550.38,0,1,0,2023,3,9,22,51,0
16.24,3,91859.97,1,0,0,6,474.42,1,2,720.91,2,0,0,2023,9,20,17,27,0
367.5,3,14640.09,0,0,0,4,397.58,0,0,292.36,2,0,0,2023,4,11,7,11,0
50.44,0,19962.22,0,0,0,14,278.55,1,1,3993.62,2,0,0,2023,8,6,8,22,0
55.5,0,89664.63,0,0,0,6,483.58,4,1,3721.54,1,0,1,2023,7,20,3,10,0
54.09,1,51287.15,1,0,0,11,152.63,2,0,1061.27,2,0,0,2023,11,17,20,13,0
9.66,2,12420.17,2,0,0,6,173.97,0,2,762.21,1,1,0,2023,6,20,17,15,0
64.78,3,23487.76,0,0,0,1,17.85,2,0,3378.44,3,0,0,2023,7,3,9,20,0
37.11,3,92977.91,2,0,0,12,457.42,3,3,395.36,0,1,0,2023,12,21,8,48,0
1.58,1,63076.36,0,0,0,13,309.49,1,0,2074.77,0,0,0,2023,4,8,9,13,0
178.56,3,62359.52,2,0,0,4,491.21,4,3,2159.31,3,1,1,2023,8,16,10,1,0
19.37,1,34416.01,2,0,0,9,163.5,3,1,4436.61,2,0,0,2023,4,29,4,34,0
22.02,0,55851.38,1,0,0,13,179.73,3,3,633.99,2,1,0,2023,12,28,4,45,0
203.97,0,73616.91,1,1,0,4,482.2,4,2,4723.22,3,1,1,2023,6,18,23,36,0
55.35,3,88292.27,2,0,0,12,283.43,0,3,625.67,2,1,0,2023,5,11,16,15,0
17.17,0,71983.33,1,0,0,2,36.46,2,2,3402.37,2,0,0,2023,11,25,7,35,0
72.33,0,29954.64,1,0,0,3,233.6,4,1,3956.54,3,1,1,2023,8,14,21,55,0
188.75,2,58078.66,1,0,1,4,495.1,0,0,3935.53,3,0,0,2023,7,16,7,49,0
2.61,1,51803.62,2,0,0,1,382.67,2,3,4963.49,0,0,0,2023,1,11,0,41,0
195.76,2,85000.68,2,0,1,14,226.9,1,2,4045.87,2,1,0,2023,11,28,19,13,0
8.06,0,38155.13,0,0,0,9,298.73,4,2,1819.59,3,0,1,2023,7,9,22,27,0
73.34,1,72060.59,0,0,0,9,434.91,2,3,4779.55,0,0,0,2023,4,20,13,18,0
9.82,1,39996.92,1,0,0,13,42.42,2,1,2772.48,3,0,1,2023,11,8,14,12,0
197.21,2,32472.3,0,0,0,14,268.08,0,3,1947.0,2,0,1,2023,4,29,17,19,0
56.45,0,1525.05,1,0,0,8,277.53,3,0,1031.7,3,0,0,2023,8,22,0,16,0
0.32,2,39236.78,1,0,0,11,66.4,1,0,1548.07,1,1,0,2023,11,18,2,35,0
63.83,3,75526.24,0,0,0,14,69.19,1,3,3878.08,0,0,0,2023,4,24,20,18,0
147.71,3,40660.04,0,0,0,5,191.11,2,2,3055.68,1,0,0,2023,4,11,16,20,0
127.57,0,43073.71,0,0,0,7,139.86,0,3,3424.04,1,1,0,2023,4,12,10,16,0
15.24,3,61396.94,2,0,0,9,198.16,2,0,840.45,2,0,0,2023,12,7,8,6,0
80.4,3,60394.4,0,0,0,10,292.42,4,2,4530.61,0,0,1,2023,1,18,6,8,0
3.13,3,34717.05,2,0,0,8,266.86,2,0,2351.65,0,0,0,2023,4,27,6,32,0
9.53,2,60125.25,1,0,0,10,389.23,0,0,3951.42,2,1,0,2023,8,18,15,21,0
24.73,1,26301.84,2,0,1,2,181.3,2,0,1199.1,0,1,0,2023,7,22,0,15,0
138.21,3,38278.34,2,0,0,2,424.38,1,2,4183.86,2,0,0,2023,12,24,9,13,0
39.63,1,8549.08,1,0,0,13,329.74,4,3,4940.9,3,0,1,2023,4,25,12,12,0
11.77,0,42891.23,1,0,1,5,434.42,4,1,1296.27,0,1,1,2023,11,10,20,46,0
129.22,1,19305.37,1,0,0,13,368.53,3,1,665.43,2,0,0,2023,5,18,18,25,0
13.36,1,12122.23,2,0,0,6,363.3,0,3,142.32,2,0,0,2023,7,13,16,27,0
272.93,3,34981.69,1,0,0,4,128.02,3,2,4510.4,0,0,0,2023,3,10,2,1,0
23.69,3,24626.76,1,0,0,13,23.77,2,0,2506.35,0,0,0,2023,2,16,3,22,0
70.81,0,99005.13,2,0,0,3,362.81,3,3,3089.62,0,1,0,2023,10,8,19,40,0
22.63,1,85873.02,1,0,0,3,282.11,3,1,817.02,1,1,0,2023,5,7,4,16,0
92.27,0,69161.25,1,0,0,14,296.52,4,2,4627.43,3,0,1,2023,8,31,5,34,0
112.72,0,85678.68,2,0,0,5,403.13,3,1,229.77,0,0,0,2023,2,24,10,48,0
213.77,0,44775.66,1,0,0,11,449.66,2,0,3352.98,3,1,0,2023,9,12,12,46,0
3.06,1,75650.51,0,0,0,3,391.4,0,1,1855.93,1,0,0,2023,3,14,18,56,0
308.73,1,841.65,1,0,0,9,184.97,3,0,4722.91,0,0,0,2023,7,18,22,17,0
18.98,2,96821.71,2,0,0,5,286.61,1,1,1607.61,1,0,1,2023,4,27,10,23,0
38.1,2,80339.18,2,0,0,4,376.23,0,3,2141.19,3,0,0,2023,6,8,7,1,0
69.78,3,84572.25,0,1,0,5,278.72,1,3,3623.95,1,1,1,2023,4,15,2,12,0
29.6,0,91272.39,1,0,1,5,423.67,3,0,3869.54,0,0,0,2023,1,7,17,23,0
231.0,3,50228.86,2,0,0,11,261.18,2,2,736.9,0,0,1,2023,4,21,10,33,0
24.48,3,89578.63,1,0,0,10,380.6,2,2,2541.13,0,0,0,2023,7,26,12,48,0
237.11,3,38531.58,1,0,0,5,397.31,2,1,7.01,2,1,0,2023,4,9,9,26,0
306.6,3,66429.56,0,0,0,13,130.04,0,1,1700.82,0,1,0,2023,11,7,20,48,0
29.72,3,88648.99,0,0,0,3,54.98,2,2,2254.22,1,0,0,2023,11,24,10,43,0
124.88,2,72517.85,2,0,0,4,459.11,1,2,1379.33,3,0,0,2023,10,6,8,29,0
27.92,1,77140.55,1,0,0,3,464.6,0,1,3061.09,3,0,0,2023,11,14,2,39,0
34.39,2,44749.59,1,0,0,10,342.54,3,0,3093.97,1,0,0,2023,12,31,6,9,0
95.05,1,83198.66,1,0,0,10,37.39,1,0,1498.03,3,0,0,2023,4,4,22,56,0
31.7,2,82964.35,0,0,0,11,338.59,2,3,4265.72,2,0,0,2023,5,20,13,52,0
191.97,2,67585.77,2,0,0,13,302.64,3,2,4856.51,2,0,0,2023,11,12,11,9,0
44.07,1,11918.09,1,0,0,11,376.21,3,3,13.98,3,0,0,2023,8,3,19,10,0
25.38,0,48704.75,2,1,0,7,115.09,3,2,3408.27,2,0,0,2023,12,10,6,24,0
394.62,0,71321.68,1,0,0,7,316.12,0,1,2684.63,3,0,0,2023,11,12,1,51,0
63.37,3,47665.1,1,0,0,4,109.07,2,1,3572.45,3,0,0,2023,7,16,12,59,0
16.97,3,52165.88,1,0,0,10,319.69,0,3,4184.27,0,0,0,2023,8,19,11,56,0
363.86,3,90037.97,0,0,1,10,24.57,2,1,4614.29,3,1,0,2023,9,28,3,41,0
106.2,1,31890.74,0,0,0,6,418.15,3,3,1352.51,3,0,0,2023,8,18,5,12,0
70.42,1,21248.8,0,0,0,1,377.0,1,1,1571.39,0,0,0,2023,8,14,4,36,0
21.33,0,96219.67,2,0,0,2,159.98,0,1,1837.58,0,1,0,2023,6,24,1,10,0
64.23,1,67088.03,0,0,0,14,324.54,0,2,3717.63,2,0,0,2023,4,5,19,36,0
298.9,3,55658.79,2,0,0,14,60.8,1,2,2015.46,1,0,1,2023,8,30,5,30,0
173.68,3,50940.03,1,0,0,10,282.28,4,1,146.07,0,0,1,2023,6,17,10,53,0
126.92,2,85516.43,2,0,0,12,373.92,4,1,4787.71,2,0,1,2023,11,3,6,28,0
40.64,0,76016.81,1,0,0,5,359.54,1,0,620.67,2,0,0,2023,7,23,14,46,0
12.87,2,51260.5,2,0,0,1,230.41,2,1,1729.86,3,1,0,2023,8,5,4,14,0
3.1,1,76141.76,1,0,0,10,204.59,4,3,2958.68,2,0,1,2023,3,30,12,2,0
31.27,2,6814.33,2,0,0,5,449.24,2,0,8.34,3,1,0,2023,5,28,21,51,0
77.02,0,35240.55,2,0,0,10,232.91,0,1,3686.61,1,0,0,2023,4,11,4,53,0
9.21,1,29122.14,1,0,0,3,58.34,2,3,307.19,1,0,0,2023,5,7,1,1,0
24.95,3,40716.69,0,0,0,1,57.26,1,2,1674.43,1,1,0,2023,10,3,7,9,0
48.03,1,64769.27,0,0,0,5,495.11,1,2,417.64,3,0,0,2023,3,18,7,20,0
31.32,0,11082.48,2,0,0,11,68.46,3,3,2672.02,2,1,0,2023,12,27,23,35,0
60.8,2,48076.05,1,0,0,1,130.51,1,2,1388.4,3,1,0,2023,5,25,8,46,0
98.82,1,20800.69,2,0,0,10,440.03,0,1,743.79,3,0,0,2023,1,14,14,7,0
32.32,3,35239.44,2,0,0,12,260.55,1,0,2716.25,1,0,0,2023,12,25,22,20,0
174.45,3,73618.23,1,0,0,9,386.62,3,0,4996.91,1,1,0,2023,12,18,16,19,0
109.35,3,42365.28,1,0,0,4,355.47,1,1,3099.26,0,0,0,2023,4,4,15,5,0
22.51,0,1651.62,2,0,0,2,470.64,0,0,205.3,0,1,0,2023,5,12,15,42,0
35.93,0,83856.0,0,0,1,7,233.36,2,0,1550.67,2,0,0,2023,9,6,22,45,0
282.59,1,62888.38,2,0,1,2,105.64,0,1,1603.64,3,0,1,2023,9,4,16,1,0
263.8,0,94812.91,2,0,0,3,476.31,2,3,1300.58,1,0,1,2023,10,10,3,48,0
58.79,3,81359.53,1,0,0,8,373.39,0,1,2367.83,2,1,0,2023,3,15,22,49,0
